Department,Term,SubjectCode,CourseNum,SectionCode,CourseLevelCode,MinimumCredits,FacultyLoad,BuildingAndRoom,MeetingDays,MeetingTime,SectionStartDate,SectionEndDate,SemesterLength,Building,RoomNumber,MeetingStart,MeetingDurationMinutes,MeetingEnd,ShortTitle,Faculty,SectionStatus,InstructionalMethod,DeliveryMode,Group,Comments,LastEditTimestamp
"Mathematics and Statistics",FA,"STAT",145,A,100,4, 4,"NH 259","MWF","9:15AM - 10:20AM",,,Full,"NH","259","9:15 AM","65","10:20 AM","Biostatistics","Dr. Thomas L. Scofield","","LEC","","","","2022-11-03T14:11:12-04:00"
"Mathematics and Statistics",SP,"STAT",145,A,100,4, 4,"NH 259","MWF","9:15AM - 10:20AM",,,Full,"NH","259","9:15 AM","65","10:20 AM","Biostatistics","Dr. Thomas L. Scofield","","","","","","2024-02-07T08:13:01-05:00"
"Mathematics and Statistics",SP,"STAT",241,A,200,2, 2,"NH 259","MWF","12:15PM - 1:20PM",,,First,"NH","259","12:15 PM","65","1:20 PM","Engineering Statistics","Dr. Todd M. Kapitula","","LEC","","","","2022-10-25T13:40:21-04:00"
"Mathematics and Statistics",SP,"STAT",241,B,200,2, 2,"NH 259","MWF","12:15PM - 1:20PM",,,Second,"NH","259","12:15 PM","65","1:20 PM","Engineering Statistics","Dr. Todd M. Kapitula","","LEC","","","","2022-10-25T13:40:34-04:00"
"Mathematics and Statistics",SP,"STAT",243,A,200,4, 4,"NH 259","MWF","8:00AM - 9:05AM",,,Full,"NH","259","8:00 AM","65","9:05 AM","Statistics","Dr. Thomas L. Scofield","","","","","","2024-02-07T08:12:27-05:00"
"Mathematics and Statistics",SP,"STAT",243,B,200,4, 4,"NH 259","MWF","11:00AM - 12:05PM",,,Full,"NH","259","11:00 AM","65","12:05 PM","Statistics","Dr. Thomas L. Scofield","","","","","","2024-02-06T12:55:40-05:00"
"Mathematics and Statistics",FA,"STAT",245,A,200,4, 4,"NH 276","TTH","10:20AM - 12:00PM",,,Full,"NH","276","10:20 AM","100","12:00 PM","Applied Data Analysis","Dr. Stacy Lynn De Ruiter","","","In-person","","SB 343 preferred for room","2024-02-06T13:16:04-05:00"
"Mathematics and Statistics",SP,"STAT",245,B,200,4, 4,"NH 276","TTH","10:20AM - 12:00PM",,,Full,"NH","276","10:20 AM","100","12:00 PM","Applied Data Analysis","Dr. Stacy Lynn De Ruiter","","","","","","2022-12-08T09:06:10-05:00"
"Mathematics and Statistics",SP,"STAT",341,A,300,4, 4,"NH 276","MWF","1:30PM - 2:35PM",,,Full,"NH","276","1:30 PM","65","2:35 PM","Computational Bayesian Statistics","Dr. Stacy Lynn De Ruiter","","","In-person","","","2024-02-06T12:58:08-05:00"
"Mathematics and Statistics",FA,"STAT",343,A,300,4, 4,"NH 259","MWF","11:00AM - 12:05PM",,,Full,"NH","259","11:00 AM","65","12:05 PM","Probability & Statistics","Dr. Randall J Pruim","","","","","","2024-02-06T12:51:59-05:00"
